类别：所有类别

国家/地区,纸杯蛋糕: (2004/1/1 - 2020/10/17)
泽西岛,
文莱,
根西岛,
福克兰群岛（马尔维纳斯群岛）,
马恩岛,
库拉索,
特立尼达和多巴哥,
巴巴多斯,
直布罗陀,
百慕大,
伯利兹,
澳大利亚,100
圣基茨和尼维斯,
塞舌尔,
新西兰,97
圣卢西亚,
巴哈马,
关岛,
菲律宾,88
新加坡,86
英属维尔京群岛,
英国,84
南非,84
圭亚那,
圣文森特和格林纳丁斯,
苏里南,
波多黎各,76
荷属圣马丁,
美国,75
马尔代夫,
纳米比亚,
阿鲁巴,
安提瓜和巴布达,
开曼群岛,
爱尔兰,71
萨摩亚,
马来西亚,71
荷属加勒比区,
美属萨摩亚,
加拿大,68
特克斯和凯科斯群岛,
北马里亚纳群岛,
马耳他,
博茨瓦纳,
洪都拉斯,
美属维尔京群岛,
格林纳达,
多米尼克,
智利,56
危地马拉,55
哥斯达黎加,53
巴拉圭,
毛里求斯,
斯里兰卡,51
墨西哥,50
巴西,50
秘鲁,50
委内瑞拉,50
法属圣马丁,
斐济,
荷兰,46
厄瓜多尔,44
乌拉圭,44
津巴布韦,
萨尔瓦多,
巴拿马,
法属波利尼西亚,
塞浦路斯,
斯威士兰,
阿根廷,43
挪威,42
马提尼克,
马拉维,
比利时,42
巴林,
留尼汪,
法罗群岛,
新喀里多尼亚,
波兰,38
阿拉伯联合酋长国,38
哥伦比亚,36
奥兰群岛,
丹麦,35
黎巴嫩,
瑞士,34
卡塔尔,
玻利维亚,34
瑞典,34
佛得角,
莫桑比克,
摩纳哥,
赞比亚,
瓜德罗普,
圣巴泰勒米,
牙买加,
以色列,31
卢森堡,
巴布亚新几内亚,
列支敦士登,
冰岛,
法属圭亚那,
香港,30
捷克,28
圣赫勒拿,
伊朗,27
法国,27
安道尔,
西班牙,26
印度尼西亚,26
希腊,25
多米尼加共和国,
泰国,23
奥地利,23
葡萄牙,23
科威特,
澳门,
尼加拉瓜,
芬兰,21
莱索托,
巴基斯坦,19
不丹,
意大利,19
安哥拉,
阿曼,
德国,18
马达加斯加,
土耳其,15
东帝汶,
蒙古,
尼日利亚,
俄罗斯,15
台湾,15
斯洛伐克,
肯尼亚,
加蓬,
土库曼斯坦,
柬埔寨,
乌克兰,13
斯洛文尼亚,
突尼斯,
老挝,
北马其顿,
立陶宛,
加纳,
乌干达,
摩洛哥,
爱沙尼亚,
哈萨克斯坦,
古巴,
日本,10
缅甸,
白俄罗斯,
约旦,
塞尔维亚,
埃及,10
拉脱维亚,
沙特阿拉伯,9
越南,9
多哥,
阿塞拜疆,
坦桑尼亚,
利比亚,
阿尔及利亚,
塞拉利昂,
克罗地亚,
匈牙利,
喀麦隆,
巴勒斯坦,
阿尔巴尼亚,
印度,7
吉尔吉斯斯坦,
亚美尼亚,
摩尔多瓦,
科特迪瓦,
尼泊尔,
罗马尼亚,
韩国,
塞内加尔,
海地,
乌兹别克斯坦,
孟加拉国,
贝宁,
黑山,
波斯尼亚和黑塞哥维那,
保加利亚,
埃塞俄比亚,
科索沃,
卢旺达,
塔吉克斯坦,
格鲁吉亚,
阿富汗,
叙利亚,
苏丹,
毛里塔尼亚,
布基纳法索,
刚果（金）,
马里,
伊拉克,
也门,
中国,
图瓦卢,
诺福克岛,
朝鲜,
蒙特塞拉特,
马绍尔群岛,
帕劳,
库克群岛,
瑙鲁,
圣皮埃尔和密克隆群岛,
安圭拉,
密克罗尼西亚,
汤加,
英属印度洋领地,
瓦努阿图,
所罗门群岛,
格陵兰,
基里巴斯,
圣马力诺,
马约特,
斯瓦尔巴和扬马延,
冈比亚,
赤道几内亚,
科摩罗,
中非共和国,
刚果（布）,
吉布提,
尼日尔,
布隆迪,
利比里亚,
西撒哈拉,
圣多美和普林西比,
几内亚比绍,
乍得,
索马里,
几内亚,
南苏丹,
南极洲,
法属南部领地,
布韦岛,
科科斯（基林）群岛,
圣诞岛,
厄立特里亚,
赫德岛和麦克唐纳群岛,
纽埃,
皮特凯恩群岛,
南乔治亚和南桑威奇群岛,
托克劳,
美国本土外小岛屿,
梵蒂冈,
瓦利斯和富图纳,
