类别：所有类别
"纸杯蛋糕: (2004/1/1 - 2020/10/17, 全球)"

TOP
cupcakes,100
cupcake,94
cake,24
cup,13
cupcake recipe,12
cakes,11
chocolate,11
cupcake cake,10
cup cake,9
cupcakes recipe,7
chocolate cupcakes,6
chocolate cupcake,5
cupcake recipes,5
cup cakes,5
frosting cupcakes,3
how to make cupcakes,3
babeczki,3
cupcakes recipes,3
cupcake ideas,3
cupcake toppers,3
red velvet cupcakes,2
cupcake frosting,2
カップ ケーキ,2
2048,2
vanilla cupcakes,2

RISING
red velvet cupcakes,飙升
2048,飙升
best cupcakes,飙升
cupcakes receta,飙升
cupcake receita,飙升
muffin,飙升
cupcakes 2048,飙升
капкейки,飙升
cupcake recette,飙升
receita de cupcake,飙升
chocolate cupcakes recipe,飙升
cupcakes near me,飙升
como hacer cupcakes,飙升
receta de cupcakes,飙升
คั พ เค้ก,飙升
georgetown cupcakes,飙升
cupcake liners,飙升
oreo cupcakes,飙升
cupcake de chocolate,飙升
christmas cupcakes,飙升
cupcakes recetas,飙升
strawberry cupcakes,飙升
cupcake pan,飙升
cupcake boxes,飙升
sprinkles,飙升

